,age,total,men,women
0,   16,1159000,594000,565000
1,   17,1175000,603000,572000
2,   18,1214000,625000,589000
3,   19,1235000,634000,601000
4,   20,1266000,651000,615000
5,   21,1264000,651000,613000
6,   22,1257000,650000,607000
7,   23,1277000,659000,618000
8,   24,1265000,653000,612000
9,   25,1234000,636000,598000
10,   26,1238000,638000,601000
11,   27,1228000,631000,598000
12,   28,1248000,639000,609000
13,   29,1275000,651000,623000
14,   30,1315000,672000,643000
15,   31,1350000,689000,661000
16,   32,1373000,701000,672000
17,   33,1426000,724000,702000
18,   34,1472000,746000,726000
19,   35,1493000,758000,736000
20,   36,1495000,757000,738000
21,   37,1511000,766000,745000
22,   38,1576000,799000,777000
23,   39,1618000,820000,797000
24,   40,1681000,852000,829000
25,   41,1726000,875000,851000
26,   42,1808000,916000,891000
27,   43,1888000,956000,931000
28,   44,1991000,1010000,981000
29,   45,2025000,1023000,1002000
30,   46,1987000,1006000,981000
31,   47,1934000,977000,957000
32,   48,1875000,947000,928000
33,   49,1845000,930000,915000
34,50,1803000,909000,895000
35,   51,1797000,905000,892000
36,   52,1405000,705000,700000
37,   53,1732000,870000,863000
38,   54,1622000,814000,808000
39,   55,1579000,791000,788000
40,   56,1526000,763000,763000
41,   57,1501000,750000,751000
42,   58,1509000,751000,758000
43,   59,1536000,764000,772000
44,   60,1492000,739000,753000
45,   61,1448000,716000,732000
46,   62,1520000,750000,770000
47,   63,1568000,772000,795000
48,   64,1564000,767000,796000
49,   65,1658000,809000,849000
50,   66,1749000,850000,899000
51,   67,1843000,893000,950000
52,   68,1970000,949000,1021000
53,   69,2148000,1030000,1117000
54,   70,2115000,1009000,1106000
55,   71,1993000,948000,1045000
56,   72,1234000,579000,654000
57,   73,1312000,608000,705000
58,   74,1581000,725000,856000
59,   75,1514000,690000,823000
60,   76,1534000,692000,841000
61,   77,1467000,656000,810000
62,   78,1306000,577000,729000
63,   79,1112000,485000,627000
64,   80,1155000,494000,661000
65,   81,1150000,483000,667000
66,   82,1110000,456000,653000
67,   83,1017000,406000,611000
68,   84,916000,355000,561000
69,   85,866000,323000,543000
70,   86,790000,286000,504000
71,   87,706000,244000,461000
72,   88,610000,202000,409000
73,   89,542000,170000,372000
74,   90,470000,140000,330000
75,   91,400000,113000,287000
76,   92,337000,89000,248000
77,   93,265000,64000,201000
78,   94,202000,45000,158000
79,   95,156000,30000,126000
80,   96,109000,19000,90000
81,   97,79000,13000,66000
82,   98,60000,9000,51000
83,   99,35000,5000,30000
